unique_id,case_id_fkey,latitude,longitude,collision_year,death_date,death_time,death_datetime,collision_date,collision_time,collision_datetime,location,age,sex,deceased,collision_type,street_type,on_vz_hin_2017,in_coc_2018,publish,on_vz_hin_2022,in_epa_2021,point,analysis_neighborhood,supervisor_district,police_district,data_as_of,data_loaded_at,age_category,collision_category,collision_hour,time_of_day,collision_year_clean,collision_month,collision_day,day_of_week,high_risk
20250132,250074798,37.79322314630463,-122.4144700752028,2025,2025-02-07,,2025-02-07 12:00:00,2025-02-07,16:27:00,2025-02-07 04:27:00,Clay St and Jones St,61.0,Male,Motorcyclist,Motorcycle Collision,City Street,False,True,True,False,False,POINT (-122.414470075 37.793223146),Nob Hill,3.0,CENTRAL,2025-02-18 12:00:00,2025-04-08 04:35:01,Adult (35-64),Motorcycle,16.0,Night (9pm-5am),2025,2,7,Friday,1
143,180060546,37.71855542160001,-122.412859192,2018,2018-01-23,13:10:00,2018-01-23 01:10:00,2018-01-23,13:09:00,2018-01-23 01:09:00,Mansell Street near Visitacion Avenue,34.0,Male,Driver,Motor Vehicle Collision,City Street,False,True,True,False,True,POINT (-122.412859192 37.718555422),McLaren Park,9.0,INGLESIDE,2024-09-18 12:00:00,2025-04-08 04:35:01,Young Adult (18-34),Vehicle,13.0,Night (9pm-5am),2018,1,23,Tuesday,1
269,200252819,37.75242680127862,-122.39458697760482,2020,2020-04-21,19:35:00,2020-04-21 07:35:00,2020-04-21,17:30:00,2020-04-21 05:30:00,Dakota Street and 25th Street,28.0,Female,Driver,Motor Vehicle Collision,City Street,False,True,True,True,False,POINT (-122.394586978 37.752426801),Bayview Hunters Point,10.0,BAYVIEW,2024-09-18 12:00:00,2025-04-08 04:35:01,Young Adult (18-34),Vehicle,17.0,Morning (5am-12pm),2020,4,21,Tuesday,0
37,150597717,37.746091950482736,-122.5027758403733,2015,2015-07-13,20:35:00,2015-07-13 08:35:00,2015-07-09,15:33:00,2015-07-09 03:33:00,44th Ave and North of Rivera St,70.0,Male,Driver,Motor Vehicle Collision,City Street,False,False,True,False,False,POINT (-122.50277584 37.74609195),Sunset/Parkside,4.0,TARAVAL,2024-09-18 12:00:00,2025-04-08 04:35:01,Senior (65+),Vehicle,15.0,Night (9pm-5am),2015,7,9,Thursday,1
47,140564970,37.78754813974354,-122.42175810440789,2014,2014-07-08,06:13:00,2014-07-08 06:13:00,2014-07-08,01:49:00,2014-07-08 01:49:00,Van Ness Ave and Sutter St,51.0,Male,Motorcyclist,Motorcycle vs Motor Vehicle,City Street,True,True,True,True,True,POINT (-122.421758104 37.78754814),Nob Hill,3.0,NORTHERN,2024-09-18 12:00:00,2025-04-08 04:35:01,Adult (35-64),Motorcycle,1.0,Night (9pm-5am),2014,7,8,Tuesday,1
287,200616209,37.77725391818992,-122.45858063001226,2020,2020-10-13,01:11:00,2020-10-13 01:11:00,2020-10-13,00:38:00,2020-10-13 12:38:00,Turk Boulevard and Arguello Boulevard,57.0,Male,Driver,Motor Vehicle Collision,City Street,True,False,True,False,False,POINT (-122.45858063 37.777253918),Lone Mountain/USF,1.0,RICHMOND,2024-09-18 12:00:00,2025-04-08 04:35:01,Adult (35-64),Vehicle,0.0,Afternoon (12pm-5pm),2020,10,13,Tuesday,0
20240831,240379332,37.74409606185266,-122.39874695620964,2024,2024-06-17,21:39:00,2024-06-17 09:39:00,2024-06-17,21:33:00,2024-06-17 09:33:00,Jerrold Ave and Toland St,43.0,Female,Pedestrian,Pedestrian vs Motor Vehicle,City Street,True,False,True,False,False,POINT (-122.398746956 37.744096062),Bayview Hunters Point,10.0,BAYVIEW,2024-09-18 12:00:00,2025-04-08 04:35:01,Adult (35-64),Pedestrian,21.0,Morning (5am-12pm),2024,6,17,Monday,1
107,160384281,37.71277635296424,-122.46996782311597,2016,2016-05-10,22:50:00,2016-05-10 10:50:00,2016-05-10,22:25:00,2016-05-10 10:25:00,Brotherhood Way at Junipero Serra Blvd Northbound onramp,77.0,Male,Pedestrian,Pedestrian vs Motor Vehicle,City Street,True,True,True,False,False,POINT (-122.469967823 37.712776353),Oceanview/Merced/Ingleside,11.0,TARAVAL,2024-09-18 12:00:00,2025-04-08 04:35:01,Senior (65+),Pedestrian,22.0,Morning (5am-12pm),2016,5,10,Tuesday,1
18,140019652,37.777962542887394,-122.41990283971673,2014,2014-01-07,18:30:00,2014-01-07 06:30:00,2014-01-04,18:20:00,2014-01-04 06:20:00,IFO 240 Van Ness Ave,38.0,Male,Pedestrian,Pedestrian vs Motor Vehicle,City Street,True,True,True,True,True,POINT (-122.41990284 37.777962543),Hayes Valley,5.0,NORTHERN,2024-09-18 12:00:00,2025-04-08 04:35:01,Adult (35-64),Pedestrian,18.0,Morning (5am-12pm),2014,1,4,Saturday,1
20221031,220750649,37.76586798612152,-122.43102547073026,2022,2022-10-31,11:29:00,2022-10-31 11:29:00,2022-10-31,23:30:00,2022-10-31 11:30:00,Market St at Sanchez St,57.0,Male,Motorcyclist,Motorcycle Collision,City Street,True,False,True,True,False,POINT (-122.431025471 37.765867986),Castro/Upper Market,8.0,MISSION,2024-09-18 12:00:00,2025-04-08 04:35:01,Adult (35-64),Motorcycle,23.0,Morning (5am-12pm),2022,10,31,Monday,0
268,240169569,37.76478345249901,-122.42410268484156,2020,2020-03-17,21:44:00,2020-03-17 09:44:00,2020-03-17,20:15:00,2020-03-17 08:15:00,Guerrero Street at 16th Street,36.0,Male,Motorcyclist,Motorcycle vs Motor Vehicle,City Street,True,False,True,True,False,POINT (-122.424102685 37.764783452),Mission,8.0,MISSION,2024-09-18 12:00:00,2025-04-08 04:35:01,Adult (35-64),Motorcycle,20.0,Morning (5am-12pm),2020,3,17,Tuesday,0
20240932,240417841,37.76518313445336,-122.41748659882512,2024,2024-07-10,16:55:00,2024-07-10 04:55:00,2024-07-05,01:14:00,2024-07-05 01:14:00,16th St and South Van Ness Ave,22.0,Male,Motorcyclist,Motorcycle vs Motor Vehicle,City Street,True,True,True,True,True,POINT (-122.417486599 37.765183134),Mission,9.0,MISSION,2024-09-18 12:00:00,2025-04-08 04:35:01,Young Adult (18-34),Motorcycle,1.0,Night (9pm-5am),2024,7,5,Friday,1
20220545,220285000,37.78321431208168,-122.41076482738804,2022,2022-05-01,21:39:00,2022-05-01 09:39:00,2022-05-01,20:26:00,2022-05-01 08:26:00,Taylor St at Turk St,34.0,Female,Standup Powered Device Rider,e-Scooter vs. Vehicle,City Street,True,True,True,True,True,POINT (-122.410764827 37.783214312),Tenderloin,5.0,TENDERLOIN,2024-09-18 12:00:00,2025-04-08 04:35:01,Young Adult (18-34),Vehicle,20.0,Morning (5am-12pm),2022,5,1,Sunday,0
20220650,220335081,37.78624815152765,-122.4020254198228,2022,2022-05-22,16:40:00,2022-05-22 04:40:00,2022-05-22,16:30:00,2022-05-22 04:30:00,3rd St at Mission St,72.0,Female,Pedestrian,Pedestrian vs Motor Vehicle,City Street,True,False,True,True,False,POINT (-122.40202542 37.786248152),Financial District/South Beach,6.0,SOUTHERN,2024-09-18 12:00:00,2025-04-08 04:35:01,Senior (65+),Pedestrian,16.0,Night (9pm-5am),2022,5,22,Sunday,1
